TID;CIVILSTAND;OMRÅDE;ALDER;KØN;INDHOLD
2020K2;Ugift;Brøndby;I alt;I alt;16277
2020K2;Ugift;Dragør;I alt;I alt;5856
2020K2;Ugift;Gentofte;I alt;I alt;35183
2020K2;Ugift;Gladsaxe;I alt;I alt;34697
2020K2;Ugift;Glostrup;I alt;I alt;11365
2020K2;Ugift;Herlev;I alt;I alt;13786
2020K2;Ugift;Albertslund;I alt;I alt;13761
2020K2;Ugift;Hvidovre;I alt;I alt;26537
2020K2;Ugift;Høje-Taastrup;I alt;I alt;23641
2020K2;Ugift;Lyngby-Taarbæk;I alt;I alt;27922
2020K2;Ugift;Rødovre;I alt;I alt;20083
2020K2;Ugift;Ishøj;I alt;I alt;10785
2020K2;Ugift;Tårnby;I alt;I alt;19913
2020K2;Ugift;Vallensbæk;I alt;I alt;7331
2020K2;Ugift;Furesø;I alt;I alt;17448
2020K2;Ugift;Allerød;I alt;I alt;10615
2020K2;Ugift;Fredensborg;I alt;I alt;17161
2020K2;Ugift;Helsingør;I alt;I alt;27202
2020K2;Ugift;Hillerød;I alt;I alt;23323
2020K2;Ugift;Hørsholm;I alt;I alt;9675
2020K2;Ugift;Rudersdal;I alt;I alt;24669
2020K2;Ugift;Egedal;I alt;I alt;18342
2020K2;Ugift;Frederikssund;I alt;I alt;18589
2020K2;Ugift;Greve;I alt;I alt;20998
2020K2;Ugift;Køge;I alt;I alt;27375
2020K2;Ugift;Halsnæs;I alt;I alt;12747
2020K2;Ugift;Roskilde;I alt;I alt;41460
2020K2;Ugift;Solrød;I alt;I alt;9974
2020K2;Ugift;Gribskov;I alt;I alt;15998
2020K2;Ugift;Odsherred;I alt;I alt;12999
2020K2;Ugift;Holbæk;I alt;I alt;32268
2020K2;Ugift;Faxe;I alt;I alt;15574
2020K2;Ugift;Kalundborg;I alt;I alt;21159
2020K2;Ugift;Ringsted;I alt;I alt;16010
2020K2;Ugift;Slagelse;I alt;I alt;37433
2020K2;Ugift;Stevns;I alt;I alt;9099
2020K2;Ugift;Sorø;I alt;I alt;13262
2020K2;Ugift;Lejre;I alt;I alt;11549
2020K2;Ugift;Lolland;I alt;I alt;17081
2020K2;Ugift;Næstved;I alt;I alt;38148
2020K2;Ugift;Guldborgsund;I alt;I alt;25856
2020K2;Ugift;Vordingborg;I alt;I alt;19098
2020K2;Ugift;Bornholm;I alt;I alt;15992
2020K2;Ugift;Middelfart;I alt;I alt;16597
2020K2;Ugift;Christiansø;I alt;I alt;32
2020K2;Ugift;Assens;I alt;I alt;17702
2020K2;Ugift;Faaborg-Midtfyn;I alt;I alt;22026
2020K2;Ugift;Kerteminde;I alt;I alt;9831
2020K2;Ugift;Nyborg;I alt;I alt;13805
2020K2;Ugift;Odense;I alt;I alt;112889
2020K2;Ugift;Svendborg;I alt;I alt;26305
2020K2;Ugift;Nordfyns;I alt;I alt;12698
2020K2;Ugift;Langeland;I alt;I alt;4549
2020K2;Ugift;Ærø;I alt;I alt;2186
2020K2;Ugift;Haderslev;I alt;I alt;24875
2020K2;Ugift;Billund;I alt;I alt;11761
2020K2;Ugift;Sønderborg;I alt;I alt;32126
2020K2;Ugift;Tønder;I alt;I alt;15832
2020K2;Ugift;Esbjerg;I alt;I alt;55260
2020K2;Ugift;Fanø;I alt;I alt;1260
2020K2;Ugift;Varde;I alt;I alt;21756
2020K2;Ugift;Vejen;I alt;I alt;19270
2020K2;Ugift;Aabenraa;I alt;I alt;25286
2020K2;Ugift;Fredericia;I alt;I alt;23782
2020K2;Ugift;Horsens;I alt;I alt;44498
2020K2;Ugift;Kolding;I alt;I alt;45042
2020K2;Ugift;Vejle;I alt;I alt;54816
2020K2;Ugift;Herning;I alt;I alt;41911
2020K2;Ugift;Holstebro;I alt;I alt;27479
2020K2;Ugift;Lemvig;I alt;I alt;7922
2020K2;Ugift;Struer;I alt;I alt;8539
2020K2;Ugift;Syddjurs;I alt;I alt;18097
2020K2;Ugift;Norddjurs;I alt;I alt;16349
2020K2;Ugift;Favrskov;I alt;I alt;21808
2020K2;Ugift;Odder;I alt;I alt;9640
2020K2;Ugift;Randers;I alt;I alt;47137
2020K2;Ugift;Silkeborg;I alt;I alt;43961
2020K2;Ugift;Samsø;I alt;I alt;1270
2020K2;Ugift;Skanderborg;I alt;I alt;28934
2020K2;Ugift;Aarhus;I alt;I alt;208755
2020K2;Ugift;Ikast-Brande;I alt;I alt;18627
2020K2;Ugift;Ringkøbing-Skjern;I alt;I alt;24236
2020K2;Ugift;Hedensted;I alt;I alt;20343
2020K2;Ugift;Morsø;I alt;I alt;8742
2020K2;Ugift;Skive;I alt;I alt;20291
2020K2;Ugift;Thisted;I alt;I alt;18710
2020K2;Ugift;Viborg;I alt;I alt;45455
2020K2;Ugift;Brønderslev;I alt;I alt;16310
2020K2;Ugift;Frederikshavn;I alt;I alt;24778
2020K2;Ugift;Vesthimmerlands;I alt;I alt;16151
2020K2;Ugift;Læsø;I alt;I alt;605
2020K2;Ugift;Rebild;I alt;I alt;13617
2020K2;Ugift;Mariagerfjord;I alt;I alt;18163
2020K2;Ugift;Jammerbugt;I alt;I alt;16405
2020K2;Ugift;Aalborg;I alt;I alt;118355
2020K2;Ugift;Hjørring;I alt;I alt;28589
2020K3;Ugift;København;I alt;I alt;414218
2020K3;Ugift;Frederiksberg;I alt;I alt;60802
2020K3;Ugift;Ballerup;I alt;I alt;22667
2020K3;Ugift;Brøndby;I alt;I alt;16299
2020K3;Ugift;Dragør;I alt;I alt;5866
2020K3;Ugift;Gentofte;I alt;I alt;35169
2020K3;Ugift;Gladsaxe;I alt;I alt;34752
2020K3;Ugift;Glostrup;I alt;I alt;11386
2020K3;Ugift;Herlev;I alt;I alt;13810
2020K3;Ugift;Albertslund;I alt;I alt;13726
2020K3;Ugift;Hvidovre;I alt;I alt;26581
2020K3;Ugift;Høje-Taastrup;I alt;I alt;23728
2020K3;Ugift;Lyngby-Taarbæk;I alt;I alt;27764
2020K3;Ugift;Rødovre;I alt;I alt;20198
2020K3;Ugift;Ishøj;I alt;I alt;10873
2020K3;Ugift;Tårnby;I alt;I alt;19945
2020K3;Ugift;Vallensbæk;I alt;I alt;7318
2020K3;Ugift;Furesø;I alt;I alt;17505
2020K3;Ugift;Allerød;I alt;I alt;10605
2020K3;Ugift;Fredensborg;I alt;I alt;17247
2020K3;Ugift;Helsingør;I alt;I alt;27327
2020K3;Ugift;Hillerød;I alt;I alt;23416
2020K3;Ugift;Hørsholm;I alt;I alt;9648
2020K3;Ugift;Rudersdal;I alt;I alt;24684
2020K3;Ugift;Egedal;I alt;I alt;18396
2020K3;Ugift;Frederikssund;I alt;I alt;18645
2020K3;Ugift;Greve;I alt;I alt;21065
2020K3;Ugift;Køge;I alt;I alt;27447
2020K3;Ugift;Halsnæs;I alt;I alt;12777
2020K3;Ugift;Roskilde;I alt;I alt;41580
2020K3;Ugift;Solrød;I alt;I alt;10065
2020K3;Ugift;Gribskov;I alt;I alt;16036
2020K3;Ugift;Odsherred;I alt;I alt;13051
2020K3;Ugift;Holbæk;I alt;I alt;32366
2020K3;Ugift;Faxe;I alt;I alt;15681
2020K3;Ugift;Kalundborg;I alt;I alt;21195
2020K3;Ugift;Ringsted;I alt;I alt;16089
2020K3;Ugift;Slagelse;I alt;I alt;37477
2020K3;Ugift;Stevns;I alt;I alt;9138
2020K3;Ugift;Sorø;I alt;I alt;13306
2020K3;Ugift;Lejre;I alt;I alt;11637
2020K3;Ugift;Lolland;I alt;I alt;17056
2020K3;Ugift;Næstved;I alt;I alt;38262
2020K3;Ugift;Guldborgsund;I alt;I alt;25813
2020K3;Ugift;Vordingborg;I alt;I alt;19118
2020K3;Ugift;Bornholm;I alt;I alt;16066
2020K3;Ugift;Middelfart;I alt;I alt;16596
2020K3;Ugift;Christiansø;I alt;I alt;33
2020K3;Ugift;Assens;I alt;I alt;17664
2020K3;Ugift;Faaborg-Midtfyn;I alt;I alt;22137
2020K3;Ugift;Kerteminde;I alt;I alt;9831
2020K3;Ugift;Nyborg;I alt;I alt;13827
2020K3;Ugift;Odense;I alt;I alt;112672
2020K3;Ugift;Svendborg;I alt;I alt;26281
2020K3;Ugift;Nordfyns;I alt;I alt;12670
2020K3;Ugift;Langeland;I alt;I alt;4544
2020K3;Ugift;Ærø;I alt;I alt;2203
2020K3;Ugift;Haderslev;I alt;I alt;24823
2020K3;Ugift;Billund;I alt;I alt;11755
2020K3;Ugift;Sønderborg;I alt;I alt;32180
2020K3;Ugift;Tønder;I alt;I alt;15764
2020K3;Ugift;Esbjerg;I alt;I alt;55330
2020K3;Ugift;Fanø;I alt;I alt;1267
2020K3;Ugift;Varde;I alt;I alt;21706
2020K3;Ugift;Vejen;I alt;I alt;19353
2020K3;Ugift;Aabenraa;I alt;I alt;25364
2020K3;Ugift;Fredericia;I alt;I alt;23752
2020K3;Ugift;Horsens;I alt;I alt;44741
2020K3;Ugift;Kolding;I alt;I alt;44969
2020K3;Ugift;Vejle;I alt;I alt;55161
2020K3;Ugift;Herning;I alt;I alt;42075
2020K3;Ugift;Holstebro;I alt;I alt;27545
2020K3;Ugift;Lemvig;I alt;I alt;7932
2020K3;Ugift;Struer;I alt;I alt;8496
2020K3;Ugift;Syddjurs;I alt;I alt;18125
2020K3;Ugift;Norddjurs;I alt;I alt;16375
2020K3;Ugift;Favrskov;I alt;I alt;21843
2020K3;Ugift;Odder;I alt;I alt;9603
2020K3;Ugift;Randers;I alt;I alt;47342
2020K3;Ugift;Silkeborg;I alt;I alt;44180
2020K3;Ugift;Samsø;I alt;I alt;1291
2020K3;Ugift;Skanderborg;I alt;I alt;29040
2020K3;Ugift;Aarhus;I alt;I alt;208470
2020K3;Ugift;Ikast-Brande;I alt;I alt;18658
2020K3;Ugift;Ringkøbing-Skjern;I alt;I alt;24244
2020K3;Ugift;Hedensted;I alt;I alt;20335
2020K3;Ugift;Morsø;I alt;I alt;8804
2020K3;Ugift;Skive;I alt;I alt;20206
2020K3;Ugift;Thisted;I alt;I alt;18757
2020K3;Ugift;Viborg;I alt;I alt;45423
2020K3;Ugift;Brønderslev;I alt;I alt;16301
2020K3;Ugift;Frederikshavn;I alt;I alt;24745
2020K3;Ugift;Vesthimmerlands;I alt;I alt;16158
2020K3;Ugift;Læsø;I alt;I alt;607
2020K3;Ugift;Rebild;I alt;I alt;13751
2020K3;Ugift;Mariagerfjord;I alt;I alt;18150
2020K3;Ugift;Jammerbugt;I alt;I alt;16404
2020K3;Ugift;Aalborg;I alt;I alt;118694
2020K3;Ugift;Hjørring;I alt;I alt;28682
2020K4;Ugift;København;I alt;I alt;417782
2020K4;Ugift;Frederiksberg;I alt;I alt;61020
2020K4;Ugift;Ballerup;I alt;I alt;22707
2020K4;Ugift;Brøndby;I alt;I alt;16317
2020K4;Ugift;Dragør;I alt;I alt;5856
2020K4;Ugift;Gentofte;I alt;I alt;35017
2020K4;Ugift;Gladsaxe;I alt;I alt;34749
2020K4;Ugift;Glostrup;I alt;I alt;11397
2020K4;Ugift;Herlev;I alt;I alt;13798
2020K4;Ugift;Albertslund;I alt;I alt;13701
2020K4;Ugift;Hvidovre;I alt;I alt;26566
2020K4;Ugift;Høje-Taastrup;I alt;I alt;23898
2020K4;Ugift;Lyngby-Taarbæk;I alt;I alt;28229
2020K4;Ugift;Rødovre;I alt;I alt;20234
2020K4;Ugift;Ishøj;I alt;I alt;10906
2020K4;Ugift;Tårnby;I alt;I alt;19946
2020K4;Ugift;Vallensbæk;I alt;I alt;7276
2020K4;Ugift;Furesø;I alt;I alt;17449
2020K4;Ugift;Allerød;I alt;I alt;10725
2020K4;Ugift;Fredensborg;I alt;I alt;17211
2020K4;Ugift;Helsingør;I alt;I alt;27234
2020K4;Ugift;Hillerød;I alt;I alt;23405
2020K4;Ugift;Hørsholm;I alt;I alt;9669
2020K4;Ugift;Rudersdal;I alt;I alt;24844
2020K4;Ugift;Egedal;I alt;I alt;18371
2020K4;Ugift;Frederikssund;I alt;I alt;18591
2020K4;Ugift;Greve;I alt;I alt;21049
2020K4;Ugift;Køge;I alt;I alt;27484
2020K4;Ugift;Halsnæs;I alt;I alt;12741
2020K4;Ugift;Roskilde;I alt;I alt;41680
2020K4;Ugift;Solrød;I alt;I alt;10042
2020K4;Ugift;Gribskov;I alt;I alt;15964
2020K4;Ugift;Odsherred;I alt;I alt;12941
2020K4;Ugift;Holbæk;I alt;I alt;32373
2020K4;Ugift;Faxe;I alt;I alt;15597
2020K4;Ugift;Kalundborg;I alt;I alt;21198
2020K4;Ugift;Ringsted;I alt;I alt;16073
2020K4;Ugift;Slagelse;I alt;I alt;37371
2020K4;Ugift;Stevns;I alt;I alt;9167
2020K4;Ugift;Sorø;I alt;I alt;13338
2020K4;Ugift;Lejre;I alt;I alt;11615
2020K4;Ugift;Lolland;I alt;I alt;16916
2020K4;Ugift;Næstved;I alt;I alt;38021
2020K4;Ugift;Guldborgsund;I alt;I alt;25683
2020K4;Ugift;Vordingborg;I alt;I alt;19000
2020K4;Ugift;Bornholm;I alt;I alt;16014
2020K4;Ugift;Middelfart;I alt;I alt;16533
2020K4;Ugift;Christiansø;I alt;I alt;35
2020K4;Ugift;Assens;I alt;I alt;17526
2020K4;Ugift;Faaborg-Midtfyn;I alt;I alt;22113
2020K4;Ugift;Kerteminde;I alt;I alt;9807
2020K4;Ugift;Nyborg;I alt;I alt;13764
2020K4;Ugift;Odense;I alt;I alt;113639
2020K4;Ugift;Svendborg;I alt;I alt;26251
2020K4;Ugift;Nordfyns;I alt;I alt;12586
2020K4;Ugift;Langeland;I alt;I alt;4500
2020K4;Ugift;Ærø;I alt;I alt;2179
2020K4;Ugift;Haderslev;I alt;I alt;24725
2020K4;Ugift;Billund;I alt;I alt;11695
2020K4;Ugift;Sønderborg;I alt;I alt;31983
2020K4;Ugift;Tønder;I alt;I alt;15722
2020K4;Ugift;Esbjerg;I alt;I alt;55161
2020K4;Ugift;Fanø;I alt;I alt;1229
2020K4;Ugift;Varde;I alt;I alt;21428
2020K4;Ugift;Vejen;I alt;I alt;19277
2020K4;Ugift;Aabenraa;I alt;I alt;25145
2020K4;Ugift;Fredericia;I alt;I alt;23602
2020K4;Ugift;Horsens;I alt;I alt;44832
2020K4;Ugift;Kolding;I alt;I alt;44962
2020K4;Ugift;Vejle;I alt;I alt;55116
2020K4;Ugift;Herning;I alt;I alt;41832
2020K4;Ugift;Holstebro;I alt;I alt;27431
2020K4;Ugift;Lemvig;I alt;I alt;7852
2020K4;Ugift;Struer;I alt;I alt;8446
2020K4;Ugift;Syddjurs;I alt;I alt;18139
2020K4;Ugift;Norddjurs;I alt;I alt;16329
2020K4;Ugift;Favrskov;I alt;I alt;21719
2020K4;Ugift;Odder;I alt;I alt;9561
2020K4;Ugift;Randers;I alt;I alt;47184
2020K4;Ugift;Silkeborg;I alt;I alt;44102
2020K4;Ugift;Samsø;I alt;I alt;1299
2020K4;Ugift;Skanderborg;I alt;I alt;28963
2020K4;Ugift;Aarhus;I alt;I alt;211863
2020K4;Ugift;Ikast-Brande;I alt;I alt;18585
2020K4;Ugift;Ringkøbing-Skjern;I alt;I alt;24001
2020K4;Ugift;Hedensted;I alt;I alt;20252
2020K4;Ugift;Morsø;I alt;I alt;8721
2020K4;Ugift;Skive;I alt;I alt;19993
2020K4;Ugift;Thisted;I alt;I alt;18597
2020K4;Ugift;Viborg;I alt;I alt;45180
2020K4;Ugift;Brønderslev;I alt;I alt;16204
2020K4;Ugift;Frederikshavn;I alt;I alt;24560
2020K4;Ugift;Vesthimmerlands;I alt;I alt;15965
2020K4;Ugift;Læsø;I alt;I alt;589
2020K4;Ugift;Rebild;I alt;I alt;13736
2020K4;Ugift;Mariagerfjord;I alt;I alt;17978
2020K4;Ugift;Jammerbugt;I alt;I alt;16352
2020K4;Ugift;Aalborg;I alt;I alt;120226
2020K4;Ugift;Hjørring;I alt;I alt;28482
